stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.175455,-8.61387,CAM3,CAM3,CARLOS AMARANTE,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAM3
41.18615,-8.658733,CARR1,CARR1,CARRIÇAL,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CARR1
41.186357,-8.65799,CARR2,CARR2,CARRIÇAL,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CARR2
41.156028,-8.641889,CART,CART,CASA  DAS ARTES,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CART
41.137128,-8.619641,CAVE4,CAVE4,LGO. DA CRUZ,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAVE4
41.159332,-8.596994,CAZ,CAZ,COUTINHO AZEVEDO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAZ
41.163746,-8.539374,CB1,CB1,CARVALHA DE BAIXO,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CB1
41.164,-8.539694,CB2,CB2,CARVALHA DE BAIXO,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CB2
41.16463,-8.54022,CB3,CB3,CARVALHA DE BAIXO,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CB3
41.16461,-8.54027,CB4,CB4,CARVALHA DE BAIXO,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CB4
41.223319,-8.532638,CBD1,CBD1,CABEDA,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CBD1
41.223423,-8.532738,CBD2,CBD2,CABEDA,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CBD2
41.220583,-8.713389,CBMN,CBMN,CABO MUNDO,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CBMN
41.220667,-8.713278,CBMN2,CBMN2,CABO MUNDO,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CBMN2
41.223292,-8.61509,CBN1,CBN1,COMBONIANOS,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CBN1
41.222796,-8.615137,CBN2,CBN2,COMBONIANOS,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CBN2
41.238883,-8.632815,CCA1,CCA1,CONS.COSTA AROSO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCA1
41.239177,-8.633494,CCA2,CCA2,CONS.COSTA AROSO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCA2
41.208725,-8.613469,CCB,CCB,CAMILO C. BRANCO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCB
41.139,-8.634,CCB1,CCB1,CAMILO C. BRANCO,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCB1
41.138407,-8.633672,CCB2,CCB2,CAMILO C. BRANCO,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCB2
41.168341,-8.592395,CCBR,CCBR,COSTA CABRAL,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCBR
41.114722,-8.605,CCC1,CCC1,CLUBE CAÇADORES,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCC1
41.115021,-8.604594,CCC2,CCC2,CLUBE CAÇADORES,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCC2
41.114972,-8.604722,CCC3,CCC3,CLUBE CAÇADORES,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCC3
41.131391,-8.651741,CCL,CCL,CANCELINHAS,VNG5,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCL
41.201915,-8.573229,CCOR,CCOR,CASA DO CORIM,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCOR
41.207778,-8.622694,CCRN1,CCRN1,CRISTOVÃO CERNACHE,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCRN1
41.207634,-8.622692,CCRN2,CCRN2,CRISTOVÃO CERNACHE,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCRN2
41.155093,-8.618643,CDF1,CDF1,CEDOFEITA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CDF1
41.15453,-8.61893,CDF2,CDF2,CEDOFEITA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CDF2
41.093755,-8.639154,CDFT1,CDFT1,CEDOFEITA,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CDFT1
41.09368,-8.638928,CDFT2,CDFT2,CEDOFEITA,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CDFT2
41.133556,-8.630778,CDL2,CDL2,CANDAL,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CDL2
